name_common,player_ID,G_tot,WAA_tot,WAA_off_tot,WAA_def_tot,WAR_tot,G_best,WAA_best,WAA_off_best,WAA_def_best,WAR_best,WAA_p162,WAA_off_p162,WAA_def_p162,WAR_p162,WAA_med,WAA_off_med,WAA_def_med,WAR_med,WAA_t7,WAA_off_t7,WAA_def_t7,WAR_t7
Alan Wiggins,wiggial01,631,-1.3600000000000003,-1.14,-0.30000000000000004,7.07,158,2.05,1.53,0.86,4.07,-0.34916006339144223,-0.2926782884310618,-0.07702060221870048,1.8151188589540412,1.375,1.04,0.26,3.5300000000000002,-0.19428571428571434,-0.16285714285714284,-0.042857142857142864,1.01
Albert Almora,almoral01,331,0.56,-0.42000000000000004,1.35,3.4699999999999998,152,0.32,0.24,1.11,1.73,0.2740785498489426,-0.20555891238670695,0.6607250755287009,1.6983081570996976,0.12000000000000001,-0.22000000000000003,0.52,1.3900000000000001,0.18666666666666668,-0.14,0.45,1.1566666666666667
Albert Belle,belleal01,1539,17.15,23.25,-12.26,40.06,163,4.8,5.08,-0.06,7.07,1.8052631578947367,2.4473684210526314,-1.2905263157894737,4.216842105263158,0.97,2.36,-1.07,3.44,2.987142857142857,3.6228571428571428,-1.1385714285714286,5.147142857142857
Albert Pujols,pujolal01,2692,63.2,49.07,-2.0500000000000003,99.95,161,7.62,6.55,2.25,9.73,3.803268945022288,2.9529494799405644,-0.12336552748885588,6.014821693907875,5.02,3.985,-0.125,7.0600000000000005,6.807142857142857,5.338571428571429,0.6142857142857143,8.817142857142857
Alberto Callaspo,callaal01,1093,-4.7299999999999995,-2.0399999999999996,-0.6499999999999999,9.14,155,1.57,1.6,0.97,3.49,-0.7010612991765781,-0.30236047575480324,-0.09634034766697162,1.3546935041171089,-0.205,0.355,0.04000000000000001,2.02,0.16714285714285715,0.3928571428571429,0.08285714285714287,1.74
Albie Pearson,pearsal02,988,2.32,4.95,-4.27,13.29,160,2.9,3.54,0.24,4.85,0.3804048582995951,0.8116396761133603,-0.7001417004048581,2.17912955465587,0.76,0.76,-0.48,2.85,0.5885714285714285,0.9214285714285714,-0.5242857142857142,2.044285714285714
Alcides Escobar,escobal02,1437,-9.459999999999999,-8.31,7.21,10.09,162,1.03,1.4,1.93,3.4,-1.0664718162839248,-0.9368267223382046,0.8128183716075157,1.1374947807933193,-1.62,-1.25,0.69,0.53,-0.41,-0.4114285714285714,0.8285714285714285,1.497142857142857
Aledmys Diaz,diazal02,320,0.25999999999999995,2.54,-0.7100000000000001,4.19,130,2.04,2.49,0.12,3.49,0.131625,1.285875,-0.3594375000000001,2.1211875000000004,-0.18,0.73,-0.27,1.36,0.08666666666666666,0.8466666666666667,-0.2366666666666667,1.3966666666666667
Alejandro De Aza,deazaal01,838,-2.56,-1.0999999999999999,-2.26,7.11,153,1.84,1.33,0.4,2.45,-0.49489260143198094,-0.2126491646778043,-0.4368973747016706,1.3744868735083533,-0.925,-0.52,-0.395,0.68,-0.08428571428571427,0.22,-0.4014285714285714,1.0785714285714285
Alex Avila,avilaal01,932,3.08,3.66,4.89,14.49,141,3.1,3.5,1.63,5.09,0.5353648068669529,0.6361802575107297,0.8499785407725322,2.518648068669528,1.925,1.755,1.115,3.71,0.8414285714285714,0.8142857142857143,0.6371428571428571,2.084285714285714
